campaign_id,campaign_name,start_date,status,app_name,ad_placement,lifetime_budget,daily_budget,spend,average_cpt,average_cpa,average_cpm,impressions,taps,installs,ttr,cr,lat_on_installs,lat_off_installs,new_downloads,re_downloads,lat_combined_installs
470311161.0,0.54 - May 2022 - Arab,2020-08-31,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,5000.0,500.0,103.98,0.05,0.16,1.53,68146,1940,344,0.03,0.34,7,337,658,6,344
481689442.0,0.54 - Tier 1 & 2 - May 2022,2020-10-04,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,10000.0,300.0,20.1,0.09,0.48,2.61,7686,229,4,0.03,0.18,1,3,42,0,4
469927825.0,0.54 - Tier 1 - May 2022,2020-08-29,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,1000.0,300.0,265.51,0.09,0.41,1.8,147441,2830,398,0.02,0.23,85,313,641,5,398
474269632.0,1.00 - My Keywords,2020-09-14,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,5000.0,1000.0,141.22,0.08,0.32,2.56,55186,1776,238,0.03,0.25,67,171,439,5,238
484006307.0,1.01 - US/OZ - May 2022 - Performing Keywords,2020-10-12,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,10000.0,300.0,195.65,0.09,0.41,1.81,108100,2139,158,0.02,0.22,35,123,470,2,158
487011463.0,1.50 - May 2022 - USA,2020-10-18,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,6000.0,300.0,525.36,0.73,2.44,14.7,35732,717,7,0.02,0.3,2,5,214,1,7
579860807.0,1.50 - USA - May 2022 - Apple Suggest,2021-07-03,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,10000.0,500.0,11.74,0.65,3.91,7.97,1473,18,0,0.01,0.17,0,0,3,0,0
481406796.0,Japan Oct 2020 0.19,2020-10-04,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,1000.0,1000.0,5.17,0.13,0.37,2.08,2491,41,1,0.02,0.34,0,1,14,0,1
1454602506.0,Sleep - Exploration Sept 2023,2023-09-16,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,5000.0,500.0,2.94,0.49,0.0,3.68,798,6,0,0.01,0.0,0,0,0,0,0
1153489791.0,Sleep Habits - Product pages,2022-09-28,PAUSED,Sleep Habits: Sleep Better,Product PagesÂ—While Browsing,5000.0,100.0,27.32,0.14,1.71,1.57,17412,191,0,0.01,0.08,0,0,16,0,0
1153492631.0,Sleep Habits Todays Tab,2022-09-28,PAUSED,Sleep Habits: Sleep Better,Today Tab,5000.0,100.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0
469819327.0,Sleep Habits WW Launch,2020-08-29,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,1000.0,500.0,158.95,0.06,0.32,1.64,96714,2729,368,0.03,0.18,78,290,499,4,368
470617236.0,Top Tier Sleep,2020-09-01,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,5000.0,500.0,65.83,0.11,0.56,3.75,17567,620,101,0.04,0.19,14,87,117,1,101
481689442.0,Top Tier Sleep,2020-09-01,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,5000.0,500.0,1523.76,0.12,0.49,2.73,558746,13236,1619,0.02,0.24,289,1330,3113,24,1619
